empresa;lat;long;actividad;todo
ALMACÉN EL TIGRE;14.557873; -90.545707;Confección;ALMACÉN EL TIGRE     Confección
ARGO INDUSTRIAS;;;Confección;ARGO INDUSTRIAS     Confección
ARIM APPAREL, S.A.;;;Confección;ARIM APPAREL, S.A.     Confección
ARTE Y CONFECCIÓN, S.A.;;;Confección;ARTE Y CONFECCIÓN, S.A.     Confección
AUGUSTO UNLIMITED, S.A.;;;Confección;AUGUSTO UNLIMITED, S.A.     Confección
BANDO FASHION, S.A.;;;Confección;BANDO FASHION, S.A.     Confección
B-HEIM GUATEMALA, S.A.;;;Confección;B-HEIM GUATEMALA, S.A.     Confección
BIENNO, S.A.;;;Confección;BIENNO, S.A.     Confección
BOLIM ACTIVEWEAR, S.A.;;;Confección;BOLIM ACTIVEWEAR, S.A.     Confección
BONATEX, S.A.;;;Confección;BONATEX, S.A.     Confección
C SITE TEXPIA, S.A.;;;Confección;C SITE TEXPIA, S.A.     Confección
C.S.A. TEXTILES S.A.;;;Confección;C.S.A. TEXTILES S.A.     Confección
CENTEXSA, S.A.;;;Confección;CENTEXSA, S.A.     Confección
CICLADAS GROUP, S.A.;;;Confección;CICLADAS GROUP, S.A.     Confección
CIELO INTERNATIONAL, S.A.;;;Confección;CIELO INTERNATIONAL, S.A.     Confección
COMERCIAL OR Y CIA. LTDA.;;;Confección;COMERCIAL OR Y CIA. LTDA.     Confección
COMPAÑÍA DE MAQUILA, S.A.;;;Confección;COMPAÑÍA DE MAQUILA, S.A.     Confección
COMPUTACIÓN DE CENTRO EDUCATIVO GETSEMANÍ COMPUCEG;;;Confección;COMPUTACIÓN DE CENTRO EDUCATIVO GETSEMANÍ COMPUCEG     Confección
CONCEPTOS TEXTILES, S.A.;;;Confección;CONCEPTOS TEXTILES, S.A.     Confección
CONFECCIONES EL BUEN PASTOR;;;Confección;CONFECCIONES EL BUEN PASTOR     Confección
CONFECCIONES ESCOBAR Y ALECIO, S.A. (CONFESA);;;Confección;CONFECCIONES ESCOBAR Y ALECIO, S.A. (CONFESA)     Confección
CONFECCIONES GUATEMALA S.A.;;;Confección;CONFECCIONES GUATEMALA S.A.     Confección
CONFECCIONES ISA;;;Confección;CONFECCIONES ISA     Confección
CONFECCIONES JUNIOR;;;Confección;CONFECCIONES JUNIOR     Confección
CONFECCIONES LA ELEGANTE, S.A.;;;Confección;CONFECCIONES LA ELEGANTE, S.A.     Confección
CONFECCIONES MÁQUINAS Y SERVICIOS;;;Confección;CONFECCIONES MÁQUINAS Y SERVICIOS     Confección
CONFECCIONES MARCK;;;Confección;CONFECCIONES MARCK     Confección
CONFECCIONES MODERNAS;;;Confección;CONFECCIONES MODERNAS     Confección
CORPORACIÓN BADEL CENTRO AMÉRICA, S.A;;;Confección;CORPORACIÓN BADEL CENTRO AMÉRICA, S.A     Confección
CORPORACIÓN INDYKNIT, S.A.;;;Confección;CORPORACIÓN INDYKNIT, S.A.     Confección
CUSTOM MADE SERVICES, S.A. / BV FULL PACKAGE, S.A.;;;Confección;CUSTOM MADE SERVICES, S.A. / BV FULL PACKAGE, S.A.     Confección
DENIMATRIX, S.A.;;;Confección;DENIMATRIX, S.A.     Confección
DENIMVILLE, S.A.;;;Confección;DENIMVILLE, S.A.     Confección
DISEÑOS ALBERTH;;;Confección;DISEÑOS ALBERTH     Confección
DOBLE INTERNACIONAL, S.A.;;;Confección;DOBLE INTERNACIONAL, S.A.     Confección
EBENEZER INTERNACIONAL, S.A.;;;Confección;EBENEZER INTERNACIONAL, S.A.     Confección
EDEL FASHION, S.A.;;;Confección;EDEL FASHION, S.A.     Confección
